Surveillance Network,Season,MMWR Year,MMWR Week,Age group,Sex,Race/Ethnicity,Site,Weekly Rate,Cumulative Rate,Week Ending Date
FluSurv-NET,2021-22,2021,52,Overall,Overall,"AI/AN, non-Hispanic",Overall,2.2,6.2,2022-01-01T00:00:00.000
FluSurv-NET,2021-22,2022,1,Overall,Overall,"AI/AN, non-Hispanic",Overall,0.6,6.7,2022-01-08T00:00:00.000
FluSurv-NET,2021-22,2022,2,Overall,Overall,"AI/AN, non-Hispanic",Overall,0.6,7.3,2022-01-15T00:00:00.000
FluSurv-NET,2021-22,2022,3,Overall,Overall,"AI/AN, non-Hispanic",Overall,0.6,7.9,2022-01-22T00:00:00.000
FluSurv-NET,2021-22,2022,4,Overall,Overall,"AI/AN, non-Hispanic",Overall,0,7.9,2022-01-29T00:00:00.000
FluSurv-NET,2021-22,2022,5,Overall,Overall,"AI/AN, non-Hispanic",Overall,0,7.9,2022-02-05T00:00:00.000
FluSurv-NET,2021-22,2022,6,Overall,Overall,"AI/AN, non-Hispanic",Overall,0.6,8.4,2022-02-12T00:00:00.000
FluSurv-NET,2021-22,2022,7,Overall,Overall,"AI/AN, non-Hispanic",Overall,0,8.4,2022-02-19T00:00:00.000
FluSurv-NET,2021-22,2022,8,Overall,Overall,"AI/AN, non-Hispanic",Overall,0,8.4,2022-02-26T00:00:00.000
FluSurv-NET,2021-22,2022,9,Overall,Overall,"AI/AN, non-Hispanic",Overall,0.6,9,2022-03-05T00:00:00.000
FluSurv-NET,2021-22,2022,10,Overall,Overall,"AI/AN, non-Hispanic",Overall,0.6,9.6,2022-03-12T00:00:00.000
FluSurv-NET,2021-22,2022,11,Overall,Overall,"AI/AN, non-Hispanic",Overall,1.7,11.2,2022-03-19T00:00:00.000
FluSurv-NET,2021-22,2022,12,Overall,Overall,"AI/AN, non-Hispanic",Overall,1.1,12.4,2022-03-26T00:00:00.000
FluSurv-NET,2021-22,2022,13,Overall,Overall,"AI/AN, non-Hispanic",Overall,2.8,15.2,2022-04-02T00:00:00.000
FluSurv-NET,2021-22,2022,14,Overall,Overall,"AI/AN, non-Hispanic",Overall,2.2,17.4,2022-04-09T00:00:00.000
FluSurv-NET,2021-22,2022,15,Overall,Overall,"AI/AN, non-Hispanic",Overall,1.1,18.6,2022-04-16T00:00:00.000
FluSurv-NET,2021-22,2022,16,Overall,Overall,"AI/AN, non-Hispanic",Overall,3.4,21.9,2022-04-23T00:00:00.000
FluSurv-NET,2021-22,2022,17,Overall,Overall,"AI/AN, non-Hispanic",Overall,4.5,26.4,2022-04-30T00:00:00.000
FluSurv-NET,2021-22,2022,18,Overall,Overall,"AI/AN, non-Hispanic",Overall,4.5,30.9,2022-05-07T00:00:00.000
FluSurv-NET,2021-22,2022,19,Overall,Overall,"AI/AN, non-Hispanic",Overall,2.8,33.7,2022-05-14T00:00:00.000
FluSurv-NET,2021-22,2022,20,Overall,Overall,"AI/AN, non-Hispanic",Overall,3.4,37.1,2022-05-21T00:00:00.000
FluSurv-NET,2021-22,2022,21,Overall,Overall,"AI/AN, non-Hispanic",Overall,3.4,40.5,2022-05-28T00:00:00.000
FluSurv-NET,2021-22,2022,22,Overall,Overall,"AI/AN, non-Hispanic",Overall,3.9,44.4,2022-06-04T00:00:00.000
FluSurv-NET,2021-22,2022,23,Overall,Overall,"AI/AN, non-Hispanic",Overall,1.1,45.5,2022-06-11T00:00:00.000
FluSurv-NET,2022-23,2022,40,Overall,Overall,"AI/AN, non-Hispanic",Overall,0,0,2022-10-08T00:00:00.000
FluSurv-NET,2022-23,2022,41,Overall,Overall,"AI/AN, non-Hispanic",Overall,0,0,2022-10-15T00:00:00.000
FluSurv-NET,2022-23,2022,42,Overall,Overall,"AI/AN, non-Hispanic",Overall,1.7,1.7,2022-10-22T00:00:00.000
FluSurv-NET,2022-23,2022,43,Overall,Overall,"AI/AN, non-Hispanic",Overall,0,1.7,2022-10-29T00:00:00.000
FluSurv-NET,2022-23,2022,44,Overall,Overall,"AI/AN, non-Hispanic",Overall,2.8,4.5,2022-11-05T00:00:00.000
FluSurv-NET,2022-23,2022,45,Overall,Overall,"AI/AN, non-Hispanic",Overall,4,8.5,2022-11-12T00:00:00.000
FluSurv-NET,2022-23,2022,46,Overall,Overall,"AI/AN, non-Hispanic",Overall,7.9,16.4,2022-11-19T00:00:00.000
FluSurv-NET,2022-23,2022,47,Overall,Overall,"AI/AN, non-Hispanic",Overall,8.5,24.9,2022-11-26T00:00:00.000
FluSurv-NET,2022-23,2022,48,Overall,Overall,"AI/AN, non-Hispanic",Overall,15.8,40.7,2022-12-03T00:00:00.000
FluSurv-NET,2022-23,2022,49,Overall,Overall,"AI/AN, non-Hispanic",Overall,11.3,52.1,2022-12-10T00:00:00.000
FluSurv-NET,2022-23,2022,50,Overall,Overall,"AI/AN, non-Hispanic",Overall,10.2,62.2,2022-12-17T00:00:00.000
FluSurv-NET,2022-23,2022,51,Overall,Overall,"AI/AN, non-Hispanic",Overall,10.8,73,2022-12-24T00:00:00.000
FluSurv-NET,2022-23,2022,52,Overall,Overall,"AI/AN, non-Hispanic",Overall,10.8,83.7,2022-12-31T00:00:00.000
FluSurv-NET,2022-23,2023,1,Overall,Overall,"AI/AN, non-Hispanic",Overall,5.1,88.8,2023-01-07T00:00:00.000
FluSurv-NET,2022-23,2023,2,Overall,Overall,"AI/AN, non-Hispanic",Overall,2.8,91.7,2023-01-14T00:00:00.000
FluSurv-NET,2022-23,2023,3,Overall,Overall,"AI/AN, non-Hispanic",Overall,0,91.7,2023-01-21T00:00:00.000
FluSurv-NET,2022-23,2023,4,Overall,Overall,"AI/AN, non-Hispanic",Overall,0.6,92.2,2023-01-28T00:00:00.000
FluSurv-NET,2022-23,2023,5,Overall,Overall,"AI/AN, non-Hispanic",Overall,0.6,92.8,2023-02-04T00:00:00.000
FluSurv-NET,2022-23,2023,6,Overall,Overall,"AI/AN, non-Hispanic",Overall,0,92.8,2023-02-11T00:00:00.000
FluSurv-NET,2022-23,2023,7,Overall,Overall,"AI/AN, non-Hispanic",Overall,0,92.8,2023-02-18T00:00:00.000
FluSurv-NET,2022-23,2023,8,Overall,Overall,"AI/AN, non-Hispanic",Overall,0,92.8,2023-02-25T00:00:00.000
FluSurv-NET,2022-23,2023,9,Overall,Overall,"AI/AN, non-Hispanic",Overall,0,92.8,2023-03-04T00:00:00.000
FluSurv-NET,2022-23,2023,10,Overall,Overall,"AI/AN, non-Hispanic",Overall,0,92.8,2023-03-11T00:00:00.000
FluSurv-NET,2022-23,2023,11,Overall,Overall,"AI/AN, non-Hispanic",Overall,0,92.8,2023-03-18T00:00:00.000
FluSurv-NET,2022-23,2023,12,Overall,Overall,"AI/AN, non-Hispanic",Overall,0,92.8,2023-03-25T00:00:00.000
FluSurv-NET,2022-23,2023,13,Overall,Overall,"AI/AN, non-Hispanic",Overall,1.7,94.5,2023-04-01T00:00:00.000
FluSurv-NET,2022-23,2023,14,Overall,Overall,"AI/AN, non-Hispanic",Overall,0.6,95.1,2023-04-08T00:00:00.000
FluSurv-NET,2022-23,2023,15,Overall,Overall,"AI/AN, non-Hispanic",Overall,0,95.1,2023-04-15T00:00:00.000
FluSurv-NET,2022-23,2023,16,Overall,Overall,"AI/AN, non-Hispanic",Overall,1.1,96.2,2023-04-22T00:00:00.000
FluSurv-NET,2022-23,2023,17,Overall,Overall,"AI/AN, non-Hispanic",Overall,0.6,96.8,2023-04-29T00:00:00.000
FluSurv-NET,2022-23,2023,18,Overall,Overall,"AI/AN, non-Hispanic",Overall,0,96.8,2023-05-06T00:00:00.000
FluSurv-NET,2023-24,2023,40,Overall,Overall,"AI/AN, non-Hispanic",Overall,0,0,2023-10-07T00:00:00.000
FluSurv-NET,2023-24,2023,41,Overall,Overall,"AI/AN, non-Hispanic",Overall,1.1,1.1,2023-10-14T00:00:00.000
FluSurv-NET,2023-24,2023,42,Overall,Overall,"AI/AN, non-Hispanic",Overall,0,1.1,2023-10-21T00:00:00.000
FluSurv-NET,2023-24,2023,43,Overall,Overall,"AI/AN, non-Hispanic",Overall,0,1.1,2023-10-28T00:00:00.000
FluSurv-NET,2023-24,2023,44,Overall,Overall,"AI/AN, non-Hispanic",Overall,0,1.1,2023-11-04T00:00:00.000
FluSurv-NET,2023-24,2023,45,Overall,Overall,"AI/AN, non-Hispanic",Overall,1.1,2.2,2023-11-11T00:00:00.000
FluSurv-NET,2023-24,2023,46,Overall,Overall,"AI/AN, non-Hispanic",Overall,1.1,3.3,2023-11-18T00:00:00.000
FluSurv-NET,2023-24,2023,47,Overall,Overall,"AI/AN, non-Hispanic",Overall,1.1,4.4,2023-11-25T00:00:00.000
FluSurv-NET,2023-24,2023,48,Overall,Overall,"AI/AN, non-Hispanic",Overall,2.7,7.1,2023-12-02T00:00:00.000
FluSurv-NET,2023-24,2023,49,Overall,Overall,"AI/AN, non-Hispanic",Overall,2.7,9.9,2023-12-09T00:00:00.000
FluSurv-NET,2023-24,2023,50,Overall,Overall,"AI/AN, non-Hispanic",Overall,3.3,13.2,2023-12-16T00:00:00.000
FluSurv-NET,2023-24,2023,51,Overall,Overall,"AI/AN, non-Hispanic",Overall,6,19.2,2023-12-23T00:00:00.000
FluSurv-NET,2023-24,2023,52,Overall,Overall,"AI/AN, non-Hispanic",Overall,3.3,22.5,2023-12-30T00:00:00.000
FluSurv-NET,2018-19,2018,40,Overall,Overall,"A/PI, non-Hispanic",Overall,0.2,0.2,2018-10-06T00:00:00.000
FluSurv-NET,2018-19,2018,41,Overall,Overall,"A/PI, non-Hispanic",Overall,0,0.2,2018-10-13T00:00:00.000
FluSurv-NET,2018-19,2018,42,Overall,Overall,"A/PI, non-Hispanic",Overall,0.1,0.3,2018-10-20T00:00:00.000
FluSurv-NET,2018-19,2018,43,Overall,Overall,"A/PI, non-Hispanic",Overall,0.1,0.5,2018-10-27T00:00:00.000
FluSurv-NET,2018-19,2018,44,Overall,Overall,"A/PI, non-Hispanic",Overall,0.2,0.6,2018-11-03T00:00:00.000
FluSurv-NET,2018-19,2018,45,Overall,Overall,"A/PI, non-Hispanic",Overall,0.2,0.8,2018-11-10T00:00:00.000
FluSurv-NET,2018-19,2018,46,Overall,Overall,"A/PI, non-Hispanic",Overall,0,0.9,2018-11-17T00:00:00.000
FluSurv-NET,2018-19,2018,47,Overall,Overall,"A/PI, non-Hispanic",Overall,0.3,1.1,2018-11-24T00:00:00.000
FluSurv-NET,2018-19,2018,48,Overall,Overall,"A/PI, non-Hispanic",Overall,0.5,1.6,2018-12-01T00:00:00.000
FluSurv-NET,2018-19,2018,49,Overall,Overall,"A/PI, non-Hispanic",Overall,0.3,2,2018-12-08T00:00:00.000
FluSurv-NET,2018-19,2018,50,Overall,Overall,"A/PI, non-Hispanic",Overall,0.6,2.6,2018-12-15T00:00:00.000
FluSurv-NET,2018-19,2018,51,Overall,Overall,"A/PI, non-Hispanic",Overall,0.8,3.4,2018-12-22T00:00:00.000
FluSurv-NET,2018-19,2018,52,Overall,Overall,"A/PI, non-Hispanic",Overall,1.2,4.6,2018-12-29T00:00:00.000
FluSurv-NET,2018-19,2019,1,Overall,Overall,"A/PI, non-Hispanic",Overall,1.6,6.2,2019-01-05T00:00:00.000
FluSurv-NET,2018-19,2019,2,Overall,Overall,"A/PI, non-Hispanic",Overall,1.7,7.9,2019-01-12T00:00:00.000
FluSurv-NET,2018-19,2019,3,Overall,Overall,"A/PI, non-Hispanic",Overall,1.3,9.1,2019-01-19T00:00:00.000
FluSurv-NET,2018-19,2019,4,Overall,Overall,"A/PI, non-Hispanic",Overall,1.6,10.8,2019-01-26T00:00:00.000
FluSurv-NET,2018-19,2019,5,Overall,Overall,"A/PI, non-Hispanic",Overall,1.5,12.2,2019-02-02T00:00:00.000
FluSurv-NET,2018-19,2019,6,Overall,Overall,"A/PI, non-Hispanic",Overall,1.1,13.4,2019-02-09T00:00:00.000
FluSurv-NET,2018-19,2019,7,Overall,Overall,"A/PI, non-Hispanic",Overall,2.3,15.7,2019-02-16T00:00:00.000
FluSurv-NET,2018-19,2019,8,Overall,Overall,"A/PI, non-Hispanic",Overall,2.2,17.9,2019-02-23T00:00:00.000
FluSurv-NET,2018-19,2019,9,Overall,Overall,"A/PI, non-Hispanic",Overall,2.9,20.7,2019-03-02T00:00:00.000
FluSurv-NET,2018-19,2019,10,Overall,Overall,"A/PI, non-Hispanic",Overall,2.8,23.5,2019-03-09T00:00:00.000
FluSurv-NET,2018-19,2019,11,Overall,Overall,"A/PI, non-Hispanic",Overall,2.5,26,2019-03-16T00:00:00.000
FluSurv-NET,2018-19,2019,12,Overall,Overall,"A/PI, non-Hispanic",Overall,2.2,28.2,2019-03-23T00:00:00.000
FluSurv-NET,2018-19,2019,13,Overall,Overall,"A/PI, non-Hispanic",Overall,1.1,29.4,2019-03-30T00:00:00.000
FluSurv-NET,2018-19,2019,14,Overall,Overall,"A/PI, non-Hispanic",Overall,1,30.3,2019-04-06T00:00:00.000
FluSurv-NET,2018-19,2019,15,Overall,Overall,"A/PI, non-Hispanic",Overall,0.5,30.8,2019-04-13T00:00:00.000
FluSurv-NET,2018-19,2019,16,Overall,Overall,"A/PI, non-Hispanic",Overall,0.4,31.3,2019-04-20T00:00:00.000
FluSurv-NET,2018-19,2019,17,Overall,Overall,"A/PI, non-Hispanic",Overall,0.4,31.7,2019-04-27T00:00:00.000
FluSurv-NET,2018-19,2019,18,Overall,Overall,"A/PI, non-Hispanic",Overall,0.1,31.8,2019-05-04T00:00:00.000
FluSurv-NET,2019-20,2019,40,Overall,Overall,"A/PI, non-Hispanic",Overall,0.2,0.2,2019-10-05T00:00:00.000
FluSurv-NET,2019-20,2019,41,Overall,Overall,"A/PI, non-Hispanic",Overall,0.1,0.2,2019-10-12T00:00:00.000
FluSurv-NET,2019-20,2019,42,Overall,Overall,"A/PI, non-Hispanic",Overall,0.1,0.3,2019-10-19T00:00:00.000
FluSurv-NET,2019-20,2019,43,Overall,Overall,"A/PI, non-Hispanic",Overall,0,0.3,2019-10-26T00:00:00.000
FluSurv-NET,2019-20,2019,44,Overall,Overall,"A/PI, non-Hispanic",Overall,0.3,0.6,2019-11-02T00:00:00.000
FluSurv-NET,2019-20,2019,45,Overall,Overall,"A/PI, non-Hispanic",Overall,0.4,1,2019-11-09T00:00:00.000
FluSurv-NET,2019-20,2019,46,Overall,Overall,"A/PI, non-Hispanic",Overall,0.2,1.2,2019-11-16T00:00:00.000
FluSurv-NET,2019-20,2019,47,Overall,Overall,"A/PI, non-Hispanic",Overall,0.5,1.7,2019-11-23T00:00:00.000
FluSurv-NET,2019-20,2019,48,Overall,Overall,"A/PI, non-Hispanic",Overall,0.3,2,2019-11-30T00:00:00.000
FluSurv-NET,2019-20,2019,49,Overall,Overall,"A/PI, non-Hispanic",Overall,0.7,2.7,2019-12-07T00:00:00.000
FluSurv-NET,2019-20,2019,50,Overall,Overall,"A/PI, non-Hispanic",Overall,0.6,3.3,2019-12-14T00:00:00.000
FluSurv-NET,2019-20,2019,51,Overall,Overall,"A/PI, non-Hispanic",Overall,1,4.3,2019-12-21T00:00:00.000
FluSurv-NET,2019-20,2019,52,Overall,Overall,"A/PI, non-Hispanic",Overall,1.7,6,2019-12-28T00:00:00.000
FluSurv-NET,2019-20,2020,1,Overall,Overall,"A/PI, non-Hispanic",Overall,2.2,8.2,2020-01-04T00:00:00.000
FluSurv-NET,2019-20,2020,2,Overall,Overall,"A/PI, non-Hispanic",Overall,2.6,10.9,2020-01-11T00:00:00.000
FluSurv-NET,2019-20,2020,3,Overall,Overall,"A/PI, non-Hispanic",Overall,2.5,13.4,2020-01-18T00:00:00.000
FluSurv-NET,2019-20,2020,4,Overall,Overall,"A/PI, non-Hispanic",Overall,2.6,15.9,2020-01-25T00:00:00.000
FluSurv-NET,2019-20,2020,5,Overall,Overall,"A/PI, non-Hispanic",Overall,2.7,18.7,2020-02-01T00:00:00.000
FluSurv-NET,2019-20,2020,6,Overall,Overall,"A/PI, non-Hispanic",Overall,2.7,21.4,2020-02-08T00:00:00.000
FluSurv-NET,2019-20,2020,7,Overall,Overall,"A/PI, non-Hispanic",Overall,2.1,23.5,2020-02-15T00:00:00.000
FluSurv-NET,2019-20,2020,8,Overall,Overall,"A/PI, non-Hispanic",Overall,1.7,25.2,2020-02-22T00:00:00.000
FluSurv-NET,2019-20,2020,9,Overall,Overall,"A/PI, non-Hispanic",Overall,1.7,26.9,2020-02-29T00:00:00.000
FluSurv-NET,2019-20,2020,10,Overall,Overall,"A/PI, non-Hispanic",Overall,1.5,28.3,2020-03-07T00:00:00.000
FluSurv-NET,2019-20,2020,11,Overall,Overall,"A/PI, non-Hispanic",Overall,1.1,29.4,2020-03-14T00:00:00.000
FluSurv-NET,2019-20,2020,12,Overall,Overall,"A/PI, non-Hispanic",Overall,0.3,29.7,2020-03-21T00:00:00.000
FluSurv-NET,2019-20,2020,13,Overall,Overall,"A/PI, non-Hispanic",Overall,0.1,29.8,2020-03-28T00:00:00.000
FluSurv-NET,2019-20,2020,14,Overall,Overall,"A/PI, non-Hispanic",Overall,0,29.8,2020-04-04T00:00:00.000
FluSurv-NET,2019-20,2020,15,Overall,Overall,"A/PI, non-Hispanic",Overall,0,29.8,2020-04-11T00:00:00.000
FluSurv-NET,2019-20,2020,16,Overall,Overall,"A/PI, non-Hispanic",Overall,0,29.9,2020-04-18T00:00:00.000
FluSurv-NET,2019-20,2020,17,Overall,Overall,"A/PI, non-Hispanic",Overall,0,29.9,2020-04-25T00:00:00.000
FluSurv-NET,2019-20,2020,18,Overall,Overall,"A/PI, non-Hispanic",Overall,0,29.9,2020-05-02T00:00:00.000
